first,last,team,cost,total_points,goals_scored,assists,clean_sheets,minutes,popularity,play_chance,full_name,goals_per_90,assists_per_90,points_per_million,is_playing_next
João Pedro,Junqueira de Jesus,5,5.5,126,10,6,6,1946,8.7,100.0,João Pedro Junqueira de Jesus,0.4624871317451994,0.27749227904711965,22.90908674380241,True
Kacper,Kozłowski,5,4.5,0,0,0,0,0,0.0,0.0,Kacper Kozłowski,0.0,0.0,0.0,False
Tariq,Lamptey,5,4.4,42,2,2,2,856,0.2,100.0,Tariq Lamptey,0.21028035172286022,0.21028035172286022,9.54545237603355,True
Solly,March,5,6.5,7,0,0,0,161,0.0,0.0,Solly March,0.0,0.0,1.076922911242629,False
Adrian,Mazilu,5,4.5,0,0,0,0,0,0.0,0.0,Adrian Mazilu,0.0,0.0,0.0,False
James,Milner,5,5.0,5,0,0,1,169,0.0,0.0,James Milner,0.0,0.0,0.99999980000004,False
Yankuba,Minteh,5,4.8,98,6,5,4,1658,1.0,100.0,Yankuba Minteh,0.32569358907574003,0.27141132422978337,20.41666241319533,True
Mitoma,Kaoru,5,6.3,135,9,4,6,2527,6.1,75.0,Mitoma Kaoru,0.32053817615811797,0.1424614116258302,21.428568027211423,False
Jakub,Moder,5,4.4,4,0,0,0,9,0.4,0.0,Jakub Moder,0.0,0.0,0.9090907024793857,False
Mark,O’Mahony,5,4.5,0,0,0,0,0,0.2,0.0,Mark O’Mahony,0.0,0.0,0.0,False
Odeluga,Offiah,5,4.0,0,0,0,0,0,0.1,0.0,Odeluga Offiah,0.0,0.0,0.0,False
Cameron,Peupion,5,4.4,0,0,0,0,0,0.0,0.0,Cameron Peupion,0.0,0.0,0.0,False
Jeremy,Sarmiento Morante,5,4.9,1,0,0,0,8,0.0,0.0,Jeremy Sarmiento Morante,0.0,0.0,0.20408159100375692,False
Jason,Steele,5,4.0,9,0,0,1,180,0.7,100.0,Jason Steele,0.0,0.0,2.2499994375001404,True
Deniz,Undav,5,5.5,0,0,0,0,0,0.0,0.0,Deniz Undav,0.0,0.0,0.0,False
Jan Paul,van Hecke,5,4.5,84,1,1,7,2780,0.7,100.0,Jan Paul van Hecke,0.032374099671342096,0.032374099671342096,18.66666251851944,True
